project,language,filename,blank,comment,code
redis,C,.\clones\redis\deps\jemalloc\test\unit\atomic.c,17,15,197
redis,C,.\clones\redis\tests\modules\blockonbackground.c,48,50,197
redis,Tcl/Tk,.\clones\redis\tests\support\test.tcl,29,11,197
redis,C,.\clones\redis\deps\lua\src\lundump.c,21,11,195
redis,C,.\clones\redis\src\setproctitle.c,66,70,195
redis,Tcl/Tk,.\clones\redis\tests\unit\protocol.tcl,34,13,194
redis,C,.\clones\redis\deps\jemalloc\test\unit\base.c,28,13,193
redis,C,.\clones\redis\src\lzf_c.c,43,67,192
redis,C,.\clones\redis\deps\hiredis\sockcompat.c,22,35,191
redis,C,.\clones\redis\deps\jemalloc\src\extent_dss.c,35,45,191
redis,Tcl/Tk,.\clones\redis\tests\integration\psync2-pingoff.tcl,27,32,191
redis,Tcl/Tk,.\clones\redis\tests\unit\aofrw.tcl,19,14,191
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\testrdb.tcl,32,30,191
redis,JSON,.\clones\redis\src\commands\georadiusbymember.json,0,0,189
redis,C,.\clones\redis\deps\jemalloc\test\unit\rtree.c,39,1,188
redis,C,.\clones\redis\tests\modules\list.c,17,31,188
redis,YAML,.\clones\redis\deps\jemalloc\.travis.yml,6,3,186
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\tcache_inlines.h,31,10,186
redis,C,.\clones\redis\deps\jemalloc\src\mutex.c,24,13,186
redis,C,.\clones\redis\deps\lua\src\loslib.c,43,14,186
redis,C,.\clones\redis\src\crcspeed.c,43,54,185
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\arena_stats.h,34,53,184
redis,C,.\clones\redis\deps\jemalloc\test\unit\tsd.c,38,45,184
redis,C,.\clones\redis\src\geohash.c,55,60,184
redis,Tcl/Tk,.\clones\redis\tests\unit\hyperloglog.tcl,22,10,182
redis,C,.\clones\redis\deps\jemalloc\test\src\test.c,35,19,180
redis,C/C++ Header,.\clones\redis\deps\lua\src\lua.h,106,102,180
redis,C,.\clones\redis\deps\lua\src\luac.c,17,5,178
redis,C,.\clones\redis\tests\modules\defragtest.c,48,11,178
redis,Ruby,.\clones\redis\utils\lru\test-lru.rb,29,16,178
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\datatype2.tcl,55,0,177
redis,C,.\clones\redis\deps\jemalloc\test\unit\ckh.c,32,3,176
redis,Markdown,.\clones\redis\deps\linenoise\README.markdown,71,0,176
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\prof_inlines_b.h,43,32,175
redis,C,.\clones\redis\deps\lua\src\lobject.c,27,12,175
redis,C/C++ Header,.\clones\redis\deps\hiredis\hiredis.h,50,115,171
redis,C,.\clones\redis\src\bio.c,32,106,169
redis,HTML,.\clones\redis\deps\lua\doc\lua.html,2,2,168
redis,C,.\clones\redis\deps\lua\src\lstate.c,31,15,168
redis,Tcl/Tk,.\clones\redis\tests\integration\corrupt-dump-fuzzer.tcl,23,27,168
redis,Tcl/Tk,.\clones\redis\tests\unit\pause.tcl,35,10,167
redis,Tcl/Tk,.\clones\redis\tests\integration\replication-4.tcl,23,8,166
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\atomic_gcc_sync.h,10,21,164
redis,C,.\clones\redis\src\ae_evport.c,56,101,164
redis,Tcl/Tk,.\clones\redis\tests\unit\obuf-limits.tcl,27,24,164
redis,Tcl/Tk,.\clones\redis\tests\integration\shutdown.tcl,36,39,163
redis,Tcl/Tk,.\clones\redis\tests\unit\cluster.tcl,41,21,163
redis,C,.\clones\redis\deps\jemalloc\test\unit\ql.c,35,7,162
